Title,Author,First Publish Year,URL
Wuthering Heights,Emily Brontë,1846,https://openlibrary.org/works/OL21177W
Анна Каренина,Лев Толстой,1876,https://openlibrary.org/works/OL267096W
The Great Gatsby,F. Scott Fitzgerald,1920,https://openlibrary.org/works/OL468431W
Ethan Frome,Edith Wharton,1910,https://openlibrary.org/works/OL98501W
Romeo and Juliet,William Shakespeare,1597,https://openlibrary.org/works/OL362427W
πολιτεία,Plato,1554,https://openlibrary.org/works/OL51831W
A Room with a View,E. M. Forster,1905,https://openlibrary.org/works/OL88813W
Hrabě Monte Cristo. Díl 1 a 2 (třísvazkové vydání),Alexandre Dumas,1830,https://openlibrary.org/works/OL36287W
Le petit prince,Antoine de Saint-Exupéry,1943,https://openlibrary.org/works/OL10263W
Sonnets,William Shakespeare,1609,https://openlibrary.org/works/OL362706W
As You Like It,William Shakespeare,1734,https://openlibrary.org/works/OL362698W
The Importance of Being Earnest,Oscar Wilde,1893,https://openlibrary.org/works/OL27776452W
Chronicles of Avonlea,Lucy Maud Montgomery,1912,https://openlibrary.org/works/OL77788W
कामसूत्र,Vatsyāyana,1883,https://openlibrary.org/works/OL239940W
Συμπόσιον,Plato,1559,https://openlibrary.org/works/OL51815W
Cyrano de Bergerac,Edmond Rostand,1821,https://openlibrary.org/works/OL551668W
Rose in Bloom,"Louisa May Alcott, Harriet Roosevelt Richards",1876,https://openlibrary.org/works/OL30020W
Vita nuova,"Dante Alighieri, Dante Gabriel Rossetti, Michael Palmer, Dante Rossetti, Roger Grass",1829,https://openlibrary.org/works/OL93228W
Lolita,Vladimir Nabokov,1777,https://openlibrary.org/works/OL627084W
Γοργίας,Plato,1827,https://openlibrary.org/works/OL51785W
"Works [37 plays, 6 poems, sonnets]",William Shakespeare,1730,https://openlibrary.org/works/OL259028W
Чайка,Антон Павлович Чехов,1915,https://openlibrary.org/works/OL55403W
Rebecca,Daphne du Maurier,1938,https://openlibrary.org/works/OL36633W
Ars Amatoria,"Ovid, Niklas Holzberg, Len Krisak, Sarah Ruden, Ovid, Publius Ovidius Publius Ovidius Naso, Henry T. Riley, M.J. Griggs, b. p. moore",1494,https://openlibrary.org/works/OL97725W
Доктор Живаго,Boris Leonidovich Pasternak,1957,https://openlibrary.org/works/OL258301W
Bracebridge Hall,Washington Irving,1800,https://openlibrary.org/works/OL63915W
Mémoires d'Hadrien,Marguerite Yourcenar,1951,https://openlibrary.org/works/OL106837W
Μένων,Plato,1869,https://openlibrary.org/works/OL51940W
Letters to a young poet,Rainer Maria Rilke,1656,https://openlibrary.org/works/OL3800761W
Romeo and Juliet (adaptation),"William Shakespeare, John McDonald",1748,https://openlibrary.org/works/OL2694991W
الروض العاطر في نزهة الخاطر,ʻUmar ibn Muḥammad Nafzāwī,1886,https://openlibrary.org/works/OL905626W
Φαῖδρος,Plato,1792,https://openlibrary.org/works/OL51816W
Twilight,Stephenie Meyer,2005,https://openlibrary.org/works/OL5720023W
Guess How Much I Love You,"Sam McBratney, Anita Jeram",1994,https://openlibrary.org/works/OL58402W
Psychopathia sexualis,"Richard von Krafft-Ebing, Krafft/, Charles Gilbert Chaddock, Francis Joseph Rebman",1886,https://openlibrary.org/works/OL15822096W
The Quiet American,Graham Greene,1940,https://openlibrary.org/works/OL106081W
Hernani,Victor Hugo,1830,https://openlibrary.org/works/OL1064116W
La casa de los espíritus,Isabel Allende,1982,https://openlibrary.org/works/OL1905255W
"Annonce Faite a Marie, L'","Paul Claudel, Claudel, Paul; Wallace Fowlie (transl.) Claudel, A. Lytton Sells, C. M. Girdlestone",1912,https://openlibrary.org/works/OL1098844W
Das Parfum,Patrick Süskind,1985,https://openlibrary.org/works/OL10834W
A Wrinkle in Time,Madeleine L'Engle,1962,https://openlibrary.org/works/OL41495W
East of Eden,John Steinbeck,1952,https://openlibrary.org/works/OL23166W
The Art of Loving,Erich Fromm,1956,https://openlibrary.org/works/OL1184991W
Libro de buen amor,Juan Ruiz,1900,https://openlibrary.org/works/OL3650890W
Vies des dames galantes,"Pierre de Bourdeille, seigneur de Brantôme",1722,https://openlibrary.org/works/OL2100998W
Stepping heavenward,Elizabeth Prentiss,1869,https://openlibrary.org/works/OL811123W
New Moon,Stephenie Meyer,2006,https://openlibrary.org/works/OL5720027W
Como agua para chocolate,Laura Esquivel,1989,https://openlibrary.org/works/OL953162W
Nesnesitelná lehkost bytí,Milan Kundera,1984,https://openlibrary.org/works/OL8972751W
The Fault in Our Stars,John Green,2010,https://openlibrary.org/works/OL16444438W
Introduction à la vie dévote,Francis de Sales,1662,https://openlibrary.org/works/OL1140014W
De l'amour,Stendhal,1800,https://openlibrary.org/works/OL733306W
A Severed Head,Iris Murdoch,1961,https://openlibrary.org/works/OL1326348W
Insurgent,Veronica Roth,2011,https://openlibrary.org/works/OL16325201W
The Little Tin Soldier,"Hans Christian Andersen, Various",1900,https://openlibrary.org/works/OL25423W
Bodas de sangre,Federico García Lorca,1935,https://openlibrary.org/works/OL10342794W
Allegiant,Veronica Roth,2011,https://openlibrary.org/works/OL16808471W
Five Little Peppers Grown Up,Margaret Sidney,1892,https://openlibrary.org/works/OL1528826W
The postman always rings twice,"James M. Cain, Andrew Braunsberg, David Mamet, Charles Mulvehill, Bob Rafelson",1934,https://openlibrary.org/works/OL3480719W
Romance,"Joseph Conrad, Ford Madox Ford",1900,https://openlibrary.org/works/OL39059W
The greatest thing in the world,Henry Drummond,1890,https://openlibrary.org/works/OL8379727W
Catullus,Gaius Valerius Catullus,1554,https://openlibrary.org/works/OL15229223W
Wicked,Gregory Maguire,1995,https://openlibrary.org/works/OL66218W
Ramona,Helen Hunt Jackson,1884,https://openlibrary.org/works/OL1800220W
Enten-eller,Søren Kierkegaard,1843,https://openlibrary.org/works/OL112738W
Enneads,Plotinus,1914,https://openlibrary.org/works/OL67087W
